Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,4,51,1,0,0,0
2018,2,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0
2018,3,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
2018,4,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,5,40,1,0,0,0
2018,5,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,9,105,2,0,0,0
2018,6,Eric Ebron,0,0,0,0,0,0,1,-1,0,0,0,4,71,1,0,0,0
2018,7,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
2018,8,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,0
2018,10,Eric Ebron,0,0,0,0,0,0,1,2,1,0,0,3,69,2,0,0,0
2018,11,Eric Ebron,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,12,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,5,45,2,0,0,0
2018,13,Eric Ebron,0,0,0,0,0,0,1,-9,0,0,0,10,81,0,0,0,1
2018,14,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,4,65,1,0,0,0
2018,15,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2018,16,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
2018,17,Eric Ebron,0,0,0,0,0,0,0,0,0,0,0,4,60,1,0,0,0
