Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Frank Gore,0,0,0,0,0,0,9,61,0,0,0,0,0,0,0,0,0
2017,2,Frank Gore,0,0,0,0,0,0,9,25,0,0,0,1,19,0,0,0,0
2017,3,Frank Gore,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0
2017,4,Frank Gore,0,0,0,0,0,0,11,41,0,0,0,2,16,1,0,0,0
2017,5,Frank Gore,0,0,0,0,0,0,12,63,0,0,0,0,0,0,0,0,0
2017,6,Frank Gore,0,0,0,0,0,0,15,101,0,0,0,1,18,0,0,0,0
2017,7,Frank Gore,0,0,0,0,0,0,10,29,0,0,0,1,4,0,0,0,0
2017,8,Frank Gore,0,0,0,0,0,0,12,53,0,0,0,1,5,0,0,0,0
2017,9,Frank Gore,0,0,0,0,0,0,20,53,0,0,0,1,6,0,0,0,0
2017,10,Frank Gore,0,0,0,0,0,0,13,90,0,0,0,2,12,0,0,0,0
2017,12,Frank Gore,0,0,0,0,0,0,14,67,0,0,0,1,10,0,0,0,0
2017,13,Frank Gore,0,0,0,0,0,0,8,21,0,0,0,1,10,0,0,0,0
2017,14,Frank Gore,0,0,0,0,0,0,12,92,0,0,0,1,24,0,0,0,1
2017,15,Frank Gore,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0
