Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2017,3,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2017,5,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2017,6,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,7,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,8,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0
2017,9,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,10,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,4,67,1,0,0,0
2017,12,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
2017,13,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
2017,14,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,2,67,1,0,0,0
2017,15,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,3,63,1,0,0,0
2017,17,Garrett Celek,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0
