Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0
2017,2,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,3,95,0,0,0,0
2017,4,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,5,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,6,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
2017,9,Gerald Everett,0,0,0,0,0,0,1,13,0,0,0,1,44,0,0,0,0
2017,11,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,12,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,13,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0
2017,14,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2017,17,Gerald Everett,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,1
