Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Giovani Bernard,0,0,0,0,0,0,7,40,0,0,0,1,39,0,0,0,0
2017,2,Giovani Bernard,0,0,0,0,0,0,5,10,0,0,0,2,16,0,0,0,0
2017,3,Giovani Bernard,0,0,0,0,0,0,3,27,0,0,0,2,12,1,0,0,0
2017,4,Giovani Bernard,0,0,0,0,0,0,3,12,0,0,0,3,67,1,0,0,0
2017,5,Giovani Bernard,0,0,0,0,0,0,2,2,0,0,0,2,30,0,0,0,0
2017,7,Giovani Bernard,0,0,0,0,0,0,3,8,0,0,0,1,-1,0,0,0,0
2017,8,Giovani Bernard,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
2017,9,Giovani Bernard,0,0,0,0,0,0,1,-1,0,0,0,1,-5,0,0,0,0
2017,10,Giovani Bernard,0,0,0,0,0,0,2,10,0,0,0,5,38,0,0,0,0
2017,11,Giovani Bernard,0,0,0,0,0,0,3,-4,0,0,0,1,8,0,0,0,0
2017,12,Giovani Bernard,0,0,0,0,0,0,3,12,0,0,0,1,15,0,0,0,0
2017,13,Giovani Bernard,0,0,0,0,0,0,13,77,0,0,0,2,19,0,0,0,0
2017,14,Giovani Bernard,0,0,0,0,0,0,11,62,0,0,0,6,68,0,0,0,0
2017,15,Giovani Bernard,0,0,0,0,0,0,14,30,1,0,0,3,13,0,0,0,0
2017,16,Giovani Bernard,0,0,0,0,0,0,23,116,1,0,0,7,52,0,0,0,0
2017,17,Giovani Bernard,0,0,0,0,0,0,10,52,0,0,0,6,18,0,0,0,0
