Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,7,79,1,0,0,0
2018,2,Golden Tate,0,0,0,0,0,0,1,9,0,0,0,7,109,0,0,0,0
2018,3,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
2018,4,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,8,132,2,0,0,0
2018,5,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0
2018,7,Golden Tate,0,0,0,0,0,0,1,30,0,0,0,4,36,0,0,0,1
2018,8,Golden Tate,0,0,0,0,0,0,1,3,0,0,0,7,50,0,0,0,0
2018,10,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2018,11,Golden Tate,0,0,0,0,0,0,1,-8,0,0,0,5,48,0,0,0,0
2018,12,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,1
2018,13,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,7,85,1,1,1,1
2018,14,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2018,15,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0
2018,16,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
2018,17,Golden Tate,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
