Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,6,Gus Edwards,0,0,0,0,0,0,10,42,0,0,0,0,0,0,0,0,0
2016,7,Gus Edwards,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2016,8,Gus Edwards,0,0,0,0,0,0,2,12,0,0,0,1,7,0,0,0,0
2016,9,Gus Edwards,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0
2016,11,Gus Edwards,0,0,0,0,0,0,17,115,1,1,1,0,0,0,0,0,0
2016,12,Gus Edwards,0,0,0,0,0,0,23,118,0,0,0,0,0,0,0,0,0
2016,13,Gus Edwards,0,0,0,0,0,0,21,82,0,0,0,0,0,0,0,0,0
2016,14,Gus Edwards,0,0,0,0,0,0,16,67,0,0,0,0,0,0,0,0,0
2016,15,Gus Edwards,0,0,0,0,0,0,19,104,1,0,0,0,0,0,0,0,0
2016,17,Gus Edwards,0,0,0,0,0,0,12,76,0,0,0,0,0,0,0,0,0
