Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Isaiah Crowell,0,0,0,0,0,0,10,102,2,0,0,0,0,0,0,0,0
2017,2,Isaiah Crowell,0,0,0,0,0,0,12,35,0,0,0,2,4,0,0,0,0
2017,3,Isaiah Crowell,0,0,0,0,0,0,16,34,2,0,0,2,17,0,0,0,0
2017,4,Isaiah Crowell,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0
2017,5,Isaiah Crowell,0,0,0,0,0,0,15,219,1,0,0,1,12,0,0,0,0
2017,6,Isaiah Crowell,0,0,0,0,0,0,13,40,0,0,0,2,12,0,0,0,0
2017,7,Isaiah Crowell,0,0,0,0,0,0,11,29,0,0,0,1,21,0,0,0,0
2017,8,Isaiah Crowell,0,0,0,0,0,0,13,25,0,0,0,1,13,0,0,0,0
2017,9,Isaiah Crowell,0,0,0,0,0,0,13,49,0,0,0,1,11,0,0,0,0
2017,10,Isaiah Crowell,0,0,0,0,0,0,7,19,1,0,0,2,18,0,0,0,0
2017,12,Isaiah Crowell,0,0,0,0,0,0,6,30,0,0,0,3,30,0,0,0,0
2017,13,Isaiah Crowell,0,0,0,0,0,0,21,98,0,0,0,4,9,0,0,0,0
2017,14,Isaiah Crowell,0,0,0,0,0,0,2,5,0,0,0,1,2,0,0,0,0
