Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Ito Smith,0,0,0,0,0,0,9,46,0,0,0,1,8,0,0,0,1
2016,3,Ito Smith,0,0,0,0,0,0,2,-6,0,0,0,3,41,0,0,0,0
2016,4,Ito Smith,0,0,0,0,0,0,7,35,1,0,0,3,13,0,0,0,0
2016,5,Ito Smith,0,0,0,0,0,0,3,5,1,0,0,1,5,0,0,0,0
2016,6,Ito Smith,0,0,0,0,0,0,11,22,1,0,0,2,-1,0,0,0,0
2016,7,Ito Smith,0,0,0,0,0,0,7,16,0,0,0,2,29,0,0,0,0
2016,9,Ito Smith,0,0,0,0,0,0,10,60,1,0,0,1,4,0,0,0,0
2016,10,Ito Smith,0,0,0,0,0,0,4,11,0,0,0,4,15,0,0,0,0
2016,11,Ito Smith,0,0,0,0,0,0,6,10,0,0,0,2,12,0,0,0,0
2016,12,Ito Smith,0,0,0,0,0,0,4,0,0,0,0,2,7,0,0,0,0
2016,13,Ito Smith,0,0,0,0,0,0,7,22,0,0,0,1,0,0,0,0,0
2016,14,Ito Smith,0,0,0,0,0,0,11,60,0,0,0,3,14,0,0,0,0
2016,15,Ito Smith,0,0,0,0,0,0,9,34,0,0,0,2,5,0,0,0,0
