Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,5,43,1,0,0,0
2017,2,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,5,120,1,0,0,0
2017,4,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
2017,5,J.J. Nelson,0,0,0,0,0,0,1,14,0,0,0,4,80,0,0,0,1
2017,6,J.J. Nelson,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0
2017,7,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
2017,9,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
2017,10,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2017,11,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
2017,12,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
2017,13,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0
2017,14,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
2017,15,J.J. Nelson,0,0,0,0,0,0,1,7,0,0,0,1,46,0,0,0,0
2017,17,J.J. Nelson,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
