Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,2,41,0,0,0,0
2017,2,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,8,79,0,0,0,0
2017,3,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,1
2017,4,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,5,27,0,1,0,0
2017,6,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,7,50,1,0,0,1
2017,7,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,6,44,0,0,0,0
2017,8,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,12,121,1,0,0,0
2017,9,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,8,63,0,0,0,0
2017,10,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
2017,12,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,7,94,0,0,0,0
2017,13,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
2017,14,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0
2017,15,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,7,47,0,0,0,0
2017,16,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0
2017,17,Jack Doyle,0,0,0,0,0,0,0,0,0,0,0,4,38,1,0,0,0
