Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Jacoby Brissett,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2,Jacoby Brissett,37,216,0,1,0,0,6,22,0,0,0,0,0,0,0,0,1
2017,3,Jacoby Brissett,24,259,1,0,0,0,5,14,2,0,0,0,0,0,0,0,0
2017,4,Jacoby Brissett,29,157,1,1,1,0,3,33,0,0,0,0,0,0,0,0,2
2017,5,Jacoby Brissett,34,314,0,1,0,0,8,14,1,0,0,0,0,0,0,0,0
2017,6,Jacoby Brissett,37,212,1,0,0,0,5,15,0,0,0,0,0,0,0,0,0
2017,7,Jacoby Brissett,37,200,0,0,0,0,5,31,0,0,0,0,0,0,0,0,2
2017,8,Jacoby Brissett,39,233,2,1,0,0,1,6,0,0,0,0,0,0,0,0,0
2017,9,Jacoby Brissett,30,308,2,0,0,0,2,12,0,0,0,0,0,0,0,0,1
2017,10,Jacoby Brissett,24,222,2,1,0,0,4,7,0,0,0,0,0,0,0,0,0
2017,12,Jacoby Brissett,29,196,0,0,0,0,3,16,0,0,0,0,0,0,0,0,2
2017,13,Jacoby Brissett,36,174,1,2,0,0,6,36,0,0,0,0,0,0,0,0,0
2017,14,Jacoby Brissett,22,69,1,0,0,0,3,10,0,0,0,0,0,0,0,0,0
2017,15,Jacoby Brissett,30,158,0,0,0,0,5,18,1,0,0,0,0,0,0,0,0
2017,16,Jacoby Brissett,33,215,1,0,0,0,3,8,0,0,0,0,0,0,0,0,0
2017,17,Jacoby Brissett,25,114,1,0,0,0,5,18,0,0,0,0,0,0,0,0,0
