Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Jacquizz Rodgers,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0
2018,2,Jacquizz Rodgers,0,0,0,0,0,0,5,13,0,0,0,3,23,0,0,0,0
2018,3,Jacquizz Rodgers,0,0,0,0,0,0,2,-1,0,0,0,2,18,0,0,0,0
2018,7,Jacquizz Rodgers,0,0,0,0,0,0,3,8,0,0,0,1,11,0,0,0,0
2018,8,Jacquizz Rodgers,0,0,0,0,0,0,1,4,0,0,0,4,25,0,0,0,0
2018,9,Jacquizz Rodgers,0,0,0,0,0,0,2,14,0,0,0,2,-4,0,0,0,0
2018,10,Jacquizz Rodgers,0,0,0,0,0,0,1,0,0,0,0,8,102,0,0,0,1
2018,11,Jacquizz Rodgers,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0
2018,12,Jacquizz Rodgers,0,0,0,0,0,0,5,31,0,0,0,4,31,0,0,0,0
2018,14,Jacquizz Rodgers,0,0,0,0,0,0,4,16,0,0,0,4,38,0,0,0,0
2018,15,Jacquizz Rodgers,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,16,Jacquizz Rodgers,0,0,0,0,0,0,2,2,1,0,0,7,55,0,0,0,0
2018,17,Jacquizz Rodgers,0,0,0,0,0,0,3,3,0,0,0,1,2,0,0,0,0
