Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Jalen Richard,0,0,0,0,0,0,5,24,0,0,0,9,55,0,0,0,0
2017,2,Jalen Richard,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2017,3,Jalen Richard,0,0,0,0,0,0,0,0,0,0,0,6,59,0,0,0,0
2017,4,Jalen Richard,0,0,0,0,0,0,1,-2,0,0,0,3,38,0,0,0,0
2017,5,Jalen Richard,0,0,0,0,0,0,1,4,0,0,0,6,53,0,0,0,0
2017,6,Jalen Richard,0,0,0,0,0,0,2,3,0,0,0,7,48,0,0,0,0
2017,8,Jalen Richard,0,0,0,0,0,0,2,14,0,0,0,8,50,0,0,0,0
2017,9,Jalen Richard,0,0,0,0,0,0,2,4,0,0,0,4,45,0,0,0,0
2017,10,Jalen Richard,0,0,0,0,0,0,3,7,0,0,0,5,52,0,0,0,0
2017,11,Jalen Richard,0,0,0,0,0,0,11,61,0,0,0,3,32,0,0,0,1
2017,12,Jalen Richard,0,0,0,0,0,0,1,1,0,0,0,2,15,0,0,0,0
2017,13,Jalen Richard,0,0,0,0,0,0,6,95,0,1,0,3,31,0,0,0,1
2017,14,Jalen Richard,0,0,0,0,0,0,8,24,0,0,0,1,5,0,0,0,0
2017,15,Jalen Richard,0,0,0,0,0,0,4,9,0,0,0,5,67,0,0,0,1
2017,16,Jalen Richard,0,0,0,0,0,0,4,11,1,0,0,4,40,0,0,0,0
2017,17,Jalen Richard,0,0,0,0,0,0,3,1,0,0,0,2,17,0,0,0,0
