Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,James White,0,0,0,0,0,0,10,38,0,0,0,3,30,0,0,0,0
2017,2,James White,0,0,0,0,0,0,2,11,0,0,0,8,85,0,0,0,0
2017,3,James White,0,0,0,0,0,0,5,17,0,0,0,1,11,0,0,0,0
2017,4,James White,0,0,0,0,0,0,1,7,0,0,0,10,47,0,0,0,0
2017,5,James White,0,0,0,0,0,0,2,3,0,0,0,7,57,0,0,0,0
2017,6,James White,0,0,0,0,0,0,3,23,0,0,0,4,22,0,0,0,0
2017,7,James White,0,0,0,0,0,0,4,19,0,0,0,5,28,1,0,0,0
2017,8,James White,0,0,0,0,0,0,1,2,0,0,0,5,85,0,0,0,0
2017,10,James White,0,0,0,0,0,0,2,7,0,0,0,3,11,1,0,0,0
2017,11,James White,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0
2017,12,James White,0,0,0,0,0,0,3,13,0,0,0,1,2,0,0,0,0
2017,13,James White,0,0,0,0,0,0,5,18,0,0,0,4,32,0,0,0,0
2017,14,James White,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0
2017,15,James White,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
