Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,5,56,0,0,0,0
2017,2,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0
2017,3,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
2017,4,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0
2017,5,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,1
2017,6,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
2017,7,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,6,107,0,0,0,0
2017,8,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
2017,9,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,8,126,0,0,0,0
2017,11,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
2017,12,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,13,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,14,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,5,75,1,0,0,0
2017,15,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
2017,16,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
2017,17,Jared Cook,0,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
