Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Jared Goff,33,233,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
2018,2,Jared Goff,32,354,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
2018,3,Jared Goff,36,354,3,1,0,0,3,14,0,0,0,0,0,0,0,0,0
2018,4,Jared Goff,33,465,5,0,0,0,2,7,0,0,0,0,0,0,0,0,0
2018,5,Jared Goff,32,321,1,2,0,0,5,15,0,0,0,0,0,0,0,0,2
2018,6,Jared Goff,28,201,0,1,0,0,4,14,0,0,0,0,0,0,0,0,0
2018,7,Jared Goff,24,202,2,0,0,0,3,4,0,0,0,0,0,0,0,0,1
2018,8,Jared Goff,35,295,3,0,1,1,5,7,0,0,0,0,0,0,0,0,0
2018,9,Jared Goff,40,391,3,1,1,1,3,17,0,0,0,0,0,0,0,0,0
2018,10,Jared Goff,39,318,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0
2018,11,Jared Goff,49,413,4,0,0,0,4,6,1,0,0,0,0,0,0,0,2
2018,13,Jared Goff,33,207,1,1,0,0,2,-2,0,0,0,0,0,0,0,0,1
2018,14,Jared Goff,44,180,0,4,0,0,1,5,0,0,0,0,0,0,0,0,1
2018,15,Jared Goff,53,339,0,1,0,0,2,11,0,0,0,0,0,0,0,0,2
2018,16,Jared Goff,24,216,1,0,0,0,2,6,1,0,0,0,0,0,0,0,1
2018,17,Jared Goff,26,199,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
