Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,1
2016,2,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0
2016,3,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2016,5,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
2016,6,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2016,7,Jarius Wright,0,0,0,0,0,0,1,34,0,0,0,2,37,0,1,1,0
2016,8,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
2016,9,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2016,10,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
2016,11,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,3,40,0,1,0,0
2016,12,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,1
2016,13,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
2016,14,Jarius Wright,0,0,0,0,0,0,1,5,0,0,0,3,36,0,0,0,0
2016,15,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
2016,16,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,7,69,0,0,0,1
2016,17,Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
