Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Javorius Allen,0,0,0,0,0,0,21,71,0,0,0,0,0,0,0,0,0
2017,2,Javorius Allen,0,0,0,0,0,0,14,66,0,0,0,5,35,1,0,0,0
2017,3,Javorius Allen,0,0,0,0,0,0,8,15,0,0,0,5,13,0,0,0,0
2017,4,Javorius Allen,0,0,0,0,0,0,2,7,0,0,0,6,37,0,0,0,0
2017,5,Javorius Allen,0,0,0,0,0,0,21,73,1,0,0,4,12,0,0,0,0
2017,6,Javorius Allen,0,0,0,0,0,0,10,49,0,0,0,3,17,0,0,0,0
2017,7,Javorius Allen,0,0,0,0,0,0,6,20,0,0,0,8,29,0,0,0,0
2017,8,Javorius Allen,0,0,0,0,0,0,17,55,0,0,0,1,2,0,0,0,0
2017,9,Javorius Allen,0,0,0,0,0,0,7,21,0,0,0,7,44,1,0,0,0
2017,11,Javorius Allen,0,0,0,0,0,0,3,8,0,0,0,1,9,0,0,0,0
2017,12,Javorius Allen,0,0,0,0,0,0,5,15,1,0,0,1,2,0,0,0,0
2017,13,Javorius Allen,0,0,0,0,0,0,7,22,0,0,0,1,4,0,0,0,0
2017,14,Javorius Allen,0,0,0,0,0,0,6,25,2,0,0,2,32,0,0,0,0
2017,15,Javorius Allen,0,0,0,0,0,0,13,70,0,0,0,1,4,0,0,0,0
2017,16,Javorius Allen,0,0,0,0,0,0,8,37,0,0,0,1,10,0,0,0,0
2017,17,Javorius Allen,0,0,0,0,0,0,5,37,0,0,0,0,0,0,0,0,0
