Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Jay Ajayi,0,0,0,0,0,0,5,14,0,0,0,4,31,0,0,0,1
2016,3,Jay Ajayi,0,0,0,0,0,0,7,28,1,0,0,0,0,0,0,0,0
2016,4,Jay Ajayi,0,0,0,0,0,0,6,33,0,0,0,2,13,0,0,0,0
2016,5,Jay Ajayi,0,0,0,0,0,0,13,42,1,0,0,0,0,0,0,0,0
2016,6,Jay Ajayi,0,0,0,0,0,0,25,204,2,0,0,1,3,0,0,0,0
2016,7,Jay Ajayi,0,0,0,0,0,0,29,214,1,0,0,1,2,0,0,0,0
2016,9,Jay Ajayi,0,0,0,0,0,0,24,111,1,0,0,3,19,0,0,0,1
2016,10,Jay Ajayi,0,0,0,0,0,0,19,79,0,0,0,1,1,0,0,0,0
2016,11,Jay Ajayi,0,0,0,0,0,0,16,77,0,0,0,3,7,0,0,0,0
2016,12,Jay Ajayi,0,0,0,0,0,0,18,45,1,0,0,1,11,0,0,0,0
2016,13,Jay Ajayi,0,0,0,0,0,0,12,61,0,0,0,6,26,0,0,0,0
2016,14,Jay Ajayi,0,0,0,0,0,0,20,48,0,0,0,1,15,0,0,0,1
2016,15,Jay Ajayi,0,0,0,0,0,0,19,51,0,0,0,0,0,0,0,0,1
2016,16,Jay Ajayi,0,0,0,0,0,0,32,206,1,0,0,1,3,0,0,0,0
2016,17,Jay Ajayi,0,0,0,0,0,0,16,59,0,0,0,3,20,0,0,0,0
