Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Jerick McKinnon,0,0,0,0,0,0,3,5,0,0,0,3,32,0,0,0,0
2017,2,Jerick McKinnon,0,0,0,0,0,0,3,16,0,0,0,3,9,0,0,0,0
2017,3,Jerick McKinnon,0,0,0,0,0,0,2,5,0,0,0,2,-1,0,0,0,0
2017,4,Jerick McKinnon,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2017,5,Jerick McKinnon,0,0,0,0,0,0,16,95,1,0,0,6,51,0,0,0,1
2017,6,Jerick McKinnon,0,0,0,0,0,0,16,69,1,0,0,5,30,1,0,0,1
2017,7,Jerick McKinnon,0,0,0,0,0,0,14,47,0,0,0,3,10,0,0,0,0
2017,8,Jerick McKinnon,0,0,0,0,0,0,14,50,1,1,1,6,72,0,0,0,0
2017,10,Jerick McKinnon,0,0,0,0,0,0,10,32,0,0,0,2,15,0,0,0,0
2017,11,Jerick McKinnon,0,0,0,0,0,0,14,48,0,0,0,5,12,0,0,0,0
2017,12,Jerick McKinnon,0,0,0,0,0,0,13,23,0,0,0,1,31,0,0,0,0
2017,13,Jerick McKinnon,0,0,0,0,0,0,9,24,0,0,0,5,28,1,0,0,0
2017,14,Jerick McKinnon,0,0,0,0,0,0,7,46,0,0,0,2,9,0,0,0,0
2017,15,Jerick McKinnon,0,0,0,0,0,0,9,24,0,0,0,7,114,0,0,0,0
2017,16,Jerick McKinnon,0,0,0,0,0,0,7,42,0,0,0,1,9,0,0,0,0
2017,17,Jerick McKinnon,0,0,0,0,0,0,12,44,0,0,0,0,0,0,0,0,0
