Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
2017,3,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
2017,4,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
2017,5,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
2017,6,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,9,94,0,0,0,0
2017,8,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
2017,9,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
2017,10,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
2017,12,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,6,66,1,0,0,0
2017,14,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2017,15,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
2017,16,Jermaine Kearse,0,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0
