Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,John Brown,0,0,0,0,0,0,1,1,0,0,0,3,44,1,1,0,0
2017,2,John Brown,0,0,0,0,0,0,0,0,0,0,0,4,92,1,0,0,0
2017,3,John Brown,0,0,0,0,0,0,0,0,0,0,0,5,86,0,0,0,0
2017,4,John Brown,0,0,0,0,0,0,1,3,0,0,0,3,116,1,0,0,0
2017,5,John Brown,0,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0
2017,6,John Brown,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
2017,7,John Brown,0,0,0,0,0,0,0,0,0,0,0,7,134,1,0,0,0
2017,8,John Brown,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
2017,9,John Brown,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
2017,11,John Brown,0,0,0,0,0,0,1,0,0,0,0,1,23,0,0,0,0
2017,12,John Brown,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
2017,14,John Brown,0,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0
2017,15,John Brown,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,17,John Brown,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
