Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,4,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0
2016,5,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2016,9,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,10,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,12,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
2016,13,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2016,14,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2016,15,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2016,16,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,17,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
