Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,7,64,0,0,0,0
2016,2,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0
2016,3,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0
2016,4,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,9,73,2,0,0,0
2016,5,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,8,53,0,0,0,0
2016,8,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,9,99,1,0,0,0
2016,10,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,2,41,0,0,0,0
2016,11,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0
2016,12,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,10,95,2,0,0,0
2016,14,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0
2016,15,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,17,Jordan Reed,0,0,0,0,0,0,0,0,0,0,0,5,40,1,0,0,1
