Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
2016,4,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,6,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2016,8,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0
2016,9,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,10,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,2,32,1,0,0,0
2016,12,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0
2016,14,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
2016,15,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
2016,16,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0
2016,17,Jordan Taylor,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
