Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0
2018,3,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,2,53,0,0,0,0
2018,5,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2018,8,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,4,29,2,0,0,0
2018,9,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
2018,11,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2018,12,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2018,13,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
2018,14,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
2018,15,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2018,17,Jordan Thomas,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
