Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Jordan Wilkins,0,0,0,0,0,0,14,40,0,0,0,3,21,0,0,0,0
2016,2,Jordan Wilkins,0,0,0,0,0,0,10,61,0,0,0,2,3,0,0,0,0
2016,3,Jordan Wilkins,0,0,0,0,0,0,6,19,0,0,0,2,1,0,0,0,0
2016,4,Jordan Wilkins,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0
2016,5,Jordan Wilkins,0,0,0,0,0,0,6,39,0,0,0,2,9,0,0,0,1
2016,7,Jordan Wilkins,0,0,0,0,0,0,6,46,0,0,0,1,8,0,0,0,0
2016,8,Jordan Wilkins,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0
2016,10,Jordan Wilkins,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0
2016,11,Jordan Wilkins,0,0,0,0,0,0,4,30,1,0,0,0,0,0,0,0,0
2016,12,Jordan Wilkins,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,1
2016,13,Jordan Wilkins,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,15,Jordan Wilkins,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,17,Jordan Wilkins,0,0,0,0,0,0,3,18,0,0,0,1,5,0,0,0,0
