Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,3,Josh Adams,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0,0
2017,5,Josh Adams,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
2017,7,Josh Adams,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0
2017,8,Josh Adams,0,0,0,0,0,0,9,61,0,0,0,1,6,0,0,0,0
2017,10,Josh Adams,0,0,0,0,0,0,7,47,0,0,0,0,0,0,0,0,0
2017,11,Josh Adams,0,0,0,0,0,0,7,53,1,0,0,3,19,0,0,0,0
2017,12,Josh Adams,0,0,0,0,0,0,22,84,1,1,1,0,0,0,0,0,0
2017,13,Josh Adams,0,0,0,0,0,0,20,85,0,0,0,0,0,0,0,0,0
2017,14,Josh Adams,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0,0
2017,15,Josh Adams,0,0,0,0,0,0,15,28,1,0,0,0,0,0,0,0,0
2017,16,Josh Adams,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,0,1
2017,17,Josh Adams,0,0,0,0,0,0,11,50,0,0,0,3,33,0,0,0,0
