Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2016,2,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
2016,6,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
2016,7,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
2016,8,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0
2016,9,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0
2016,10,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,4,46,1,0,0,0
2016,11,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
2016,12,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,6,66,0,0,0,0
2016,13,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,3,51,0,0,0,0
2016,14,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,4,84,0,0,0,0
2016,17,Josh Doctson,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
