Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0
2018,4,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
2018,5,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,2,50,1,0,0,0
2018,6,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0
2018,7,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,4,100,0,0,0,0
2018,8,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
2018,9,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,5,130,1,0,0,0
2018,10,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
2018,12,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0
2018,13,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,3,58,1,0,0,0
2018,14,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,5,96,0,0,0,0
2018,15,Josh Gordon,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
