Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0
2018,2,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,7,116,1,0,0,0
2018,3,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0
2018,4,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2018,5,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,4,70,0,0,0,0
2018,6,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,1
2018,7,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2018,8,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,1
2018,13,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
2018,14,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,3,55,0,0,0,0
2018,17,Keelan Cole,0,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
