Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Kenjon Barner,0,0,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0
2016,2,Kenjon Barner,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2016,3,Kenjon Barner,0,0,0,0,0,0,8,42,1,0,0,0,0,0,0,0,0
2016,6,Kenjon Barner,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
2016,8,Kenjon Barner,0,0,0,0,0,0,3,9,0,0,0,1,5,0,0,0,0
2016,9,Kenjon Barner,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
2016,11,Kenjon Barner,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0
2016,12,Kenjon Barner,0,0,0,0,0,0,1,2,0,0,0,1,10,0,0,0,0
2016,13,Kenjon Barner,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2016,15,Kenjon Barner,0,0,0,0,0,0,3,6,0,0,0,2,25,0,0,0,0
