Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,4,69,2,1,0,0
2017,2,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,3,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
2017,10,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,2,64,0,0,0,0
2017,11,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,2,52,0,0,0,0
2017,12,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,0
2017,13,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
2017,14,Kenny Golladay,0,0,0,0,0,0,1,9,0,0,0,3,17,0,0,0,0
2017,15,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0
2017,16,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
2017,17,Kenny Golladay,0,0,0,0,0,0,0,0,0,0,0,2,80,1,0,0,0
