Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Kenyan Drake,0,0,0,0,0,0,14,48,0,0,0,3,18,0,0,0,0
2018,2,Kenyan Drake,0,0,0,0,0,0,11,53,1,0,0,4,17,0,0,0,0
2018,3,Kenyan Drake,0,0,0,0,0,0,5,3,0,0,0,2,7,0,0,0,0
2018,4,Kenyan Drake,0,0,0,0,0,0,3,3,0,0,0,1,13,0,0,0,0
2018,5,Kenyan Drake,0,0,0,0,0,0,6,46,0,0,0,7,69,1,0,0,0
2018,6,Kenyan Drake,0,0,0,0,0,0,13,57,0,0,0,4,21,0,0,0,1
2018,7,Kenyan Drake,0,0,0,0,0,0,6,72,1,0,0,4,15,0,0,0,0
2018,8,Kenyan Drake,0,0,0,0,0,0,12,58,1,0,0,2,37,1,0,0,0
2018,9,Kenyan Drake,0,0,0,0,0,0,3,9,0,0,0,4,26,0,0,0,0
2018,10,Kenyan Drake,0,0,0,0,0,0,8,27,0,0,0,2,11,0,0,0,0
2018,12,Kenyan Drake,0,0,0,0,0,0,8,32,1,0,0,5,64,1,0,0,0
2018,13,Kenyan Drake,0,0,0,0,0,0,7,31,0,0,0,2,13,1,0,0,0
2018,14,Kenyan Drake,0,0,0,0,0,0,6,24,0,0,0,1,55,1,0,0,0
2018,15,Kenyan Drake,0,0,0,0,0,0,1,6,0,0,0,3,28,0,0,0,0
2018,16,Kenyan Drake,0,0,0,0,0,0,6,23,0,0,0,4,31,0,0,0,0
2018,17,Kenyan Drake,0,0,0,0,0,0,11,43,0,0,0,5,52,0,0,0,1
