Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Kerryon Johnson,0,0,0,0,0,0,5,17,0,0,0,3,20,0,0,0,0
2017,2,Kerryon Johnson,0,0,0,0,0,0,8,43,0,0,0,5,23,0,0,0,0
2017,3,Kerryon Johnson,0,0,0,0,0,0,16,101,0,0,0,2,9,0,0,0,0
2017,4,Kerryon Johnson,0,0,0,0,0,0,9,55,1,0,0,1,1,0,0,0,0
2017,5,Kerryon Johnson,0,0,0,0,0,0,12,70,0,0,0,2,15,0,0,0,0
2017,7,Kerryon Johnson,0,0,0,0,0,0,19,158,0,0,0,2,21,0,0,0,0
2017,8,Kerryon Johnson,0,0,0,0,0,0,8,22,0,0,0,6,69,0,0,0,0
2017,9,Kerryon Johnson,0,0,0,0,0,0,12,37,0,0,0,3,7,0,0,0,0
2017,10,Kerryon Johnson,0,0,0,0,0,0,14,51,1,0,0,6,38,1,0,0,1
2017,11,Kerryon Johnson,0,0,0,0,0,0,15,87,1,0,0,2,10,0,0,0,0
