Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Kirk Cousins,43,329,0,2,0,0,1,8,0,0,0,0,0,0,0,0,0
2016,2,Kirk Cousins,46,364,1,1,0,0,2,20,0,0,0,0,0,0,0,0,0
2016,3,Kirk Cousins,35,296,2,0,0,0,3,-5,0,0,0,0,0,0,0,0,1
2016,4,Kirk Cousins,27,183,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5,Kirk Cousins,41,260,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,1
2016,6,Kirk Cousins,34,263,2,1,0,0,2,8,0,0,0,0,0,0,0,0,0
2016,7,Kirk Cousins,39,302,1,0,0,0,3,19,1,0,0,0,0,0,0,0,2
2016,8,Kirk Cousins,56,458,2,1,0,0,3,-1,0,0,0,0,0,0,0,0,0
2016,10,Kirk Cousins,33,262,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
2016,11,Kirk Cousins,30,375,3,0,0,0,4,4,0,1,0,0,0,0,0,0,0
2016,12,Kirk Cousins,53,449,3,0,1,0,1,2,0,0,0,0,0,0,0,0,1
2016,13,Kirk Cousins,37,271,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1
2016,14,Kirk Cousins,21,234,2,1,1,0,4,6,0,0,0,0,0,0,0,0,0
2016,15,Kirk Cousins,47,316,0,1,0,0,2,11,0,0,0,0,0,0,0,0,1
2016,16,Kirk Cousins,29,270,1,0,0,0,5,30,2,0,0,0,0,0,0,0,0
2016,17,Kirk Cousins,35,287,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
