Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,0
2016,2,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
2016,3,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,2,38,1,0,0,0
2016,4,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2016,5,Kyle Juszczyk,0,0,0,0,0,0,1,12,0,0,0,6,75,0,0,0,0
2016,6,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,1
2016,7,Kyle Juszczyk,0,0,0,0,0,0,1,-5,0,0,0,2,18,0,0,0,0
2016,8,Kyle Juszczyk,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0
2016,9,Kyle Juszczyk,0,0,0,0,0,0,1,1,0,0,0,2,10,0,0,0,0
2016,10,Kyle Juszczyk,0,0,0,0,0,0,1,3,0,0,0,2,10,0,0,0,0
2016,13,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
2016,14,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2016,15,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2016,17,Kyle Juszczyk,0,0,0,0,0,0,2,9,0,0,0,1,15,0,0,0,1
