Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,8,81,2,0,0,0
2016,2,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,6,81,1,0,0,0
2016,3,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
2016,4,Larry Fitzgerald,0,0,0,0,0,0,1,1,0,0,0,5,62,0,0,0,0
2016,5,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,6,81,2,0,0,0
2016,6,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,6,49,0,0,0,1
2016,7,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,9,70,0,0,0,0
2016,8,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,10,74,0,0,0,0
2016,10,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,12,133,0,0,0,0
2016,11,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
2016,12,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0
2016,13,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,10,78,0,0,0,0
2016,14,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0
2016,15,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,1
2016,16,Larry Fitzgerald,1,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
2016,17,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,0,5,43,1,0,0,0
