Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Latavius Murray,0,0,0,0,0,0,11,42,0,0,0,0,0,0,0,0,0
2018,2,Latavius Murray,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0
2018,3,Latavius Murray,0,0,0,0,0,0,2,1,0,0,0,5,30,0,0,0,0
2018,4,Latavius Murray,0,0,0,0,0,0,2,2,0,0,0,2,16,0,1,1,0
2018,5,Latavius Murray,0,0,0,0,0,0,11,42,0,0,0,2,14,0,0,0,0
2018,6,Latavius Murray,0,0,0,0,0,0,24,155,1,0,0,1,3,0,0,0,0
2018,7,Latavius Murray,0,0,0,0,0,0,15,69,2,0,0,2,14,0,0,0,0
2018,8,Latavius Murray,0,0,0,0,0,0,13,56,1,0,0,5,39,0,0,0,0
2018,9,Latavius Murray,0,0,0,0,0,0,10,31,1,0,0,1,16,0,0,0,0
2018,11,Latavius Murray,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
2018,12,Latavius Murray,0,0,0,0,0,0,11,33,0,0,0,0,0,0,0,0,0
2018,13,Latavius Murray,0,0,0,0,0,0,4,11,0,0,0,2,3,0,0,0,0
2018,14,Latavius Murray,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
2018,15,Latavius Murray,0,0,0,0,0,0,15,68,1,0,0,0,0,0,0,0,0
2018,16,Latavius Murray,0,0,0,0,0,0,9,22,0,0,0,2,6,0,0,0,0
2018,17,Latavius Murray,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0
