Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Le'Veon Bell,0,0,0,0,0,0,10,32,0,0,0,3,15,0,0,0,0
2017,2,Le'Veon Bell,0,0,0,0,0,0,27,87,0,0,0,4,4,0,0,0,0
2017,3,Le'Veon Bell,0,0,0,0,0,0,15,61,1,0,0,6,37,0,0,0,0
2017,4,Le'Veon Bell,0,0,0,0,0,0,35,144,2,0,0,4,42,0,0,0,1
2017,5,Le'Veon Bell,0,0,0,0,0,0,15,47,0,0,0,10,46,0,0,0,0
2017,6,Le'Veon Bell,0,0,0,0,0,0,32,179,1,0,0,3,12,0,0,0,0
2017,7,Le'Veon Bell,0,0,0,0,0,0,35,134,0,0,0,3,58,0,0,0,0
2017,8,Le'Veon Bell,0,0,0,0,0,0,25,76,1,0,0,2,5,0,0,0,1
2017,10,Le'Veon Bell,0,0,0,0,0,0,26,80,0,0,0,5,32,0,0,0,0
2017,11,Le'Veon Bell,0,0,0,0,0,0,12,46,0,0,0,9,57,0,0,0,0
2017,12,Le'Veon Bell,0,0,0,0,0,0,20,95,0,0,0,12,88,0,0,0,1
2017,13,Le'Veon Bell,0,0,0,0,0,0,18,76,0,0,0,5,106,1,0,0,0
2017,14,Le'Veon Bell,0,0,0,0,0,0,13,48,2,1,0,9,77,1,0,0,0
2017,15,Le'Veon Bell,0,0,0,0,0,0,24,117,1,0,0,5,48,0,0,0,0
2017,16,Le'Veon Bell,0,0,0,0,0,0,14,69,1,0,0,5,28,0,0,0,0
