Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2018,4,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2018,8,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2018,10,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2018,11,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2018,13,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,4,90,0,0,0,0
2018,14,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
2018,15,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
2018,16,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2018,17,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
