Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Malcolm Brown,0,0,0,0,0,0,1,5,0,0,0,2,18,0,0,0,0
2017,2,Malcolm Brown,0,0,0,0,0,0,12,46,0,0,0,0,0,0,0,0,0
2017,3,Malcolm Brown,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0,0
2017,6,Malcolm Brown,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0
2017,7,Malcolm Brown,0,0,0,0,0,0,13,65,0,0,0,1,6,0,0,0,0
2017,8,Malcolm Brown,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
2017,9,Malcolm Brown,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0
2017,10,Malcolm Brown,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2017,11,Malcolm Brown,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0
2017,13,Malcolm Brown,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0
