Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Marcus Mariota,41,256,0,0,0,0,3,26,1,0,0,0,0,0,0,0,0
2017,2,Marcus Mariota,27,215,1,1,0,0,6,24,0,0,0,0,0,0,0,0,0
2017,3,Marcus Mariota,32,225,2,0,0,0,7,27,0,0,0,0,0,0,0,0,0
2017,4,Marcus Mariota,10,96,0,2,0,0,4,39,2,0,0,0,0,0,0,0,0
2017,6,Marcus Mariota,32,306,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2017,7,Marcus Mariota,34,203,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
2017,9,Marcus Mariota,28,218,2,1,0,0,3,6,0,0,0,0,0,0,0,0,0
2017,10,Marcus Mariota,44,264,1,1,0,0,6,51,0,0,0,0,0,0,0,0,0
2017,11,Marcus Mariota,33,306,1,4,0,0,5,5,1,0,0,0,0,0,0,0,0
2017,12,Marcus Mariota,25,184,1,2,0,0,3,4,0,0,0,0,0,0,0,0,0
2017,13,Marcus Mariota,23,150,1,0,0,0,3,23,1,0,0,0,0,0,0,0,0
2017,14,Marcus Mariota,31,159,0,2,0,0,2,11,0,0,0,0,0,0,0,0,0
2017,15,Marcus Mariota,33,241,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0
2017,16,Marcus Mariota,39,275,0,1,0,0,3,24,0,0,0,0,0,0,0,0,1
2017,17,Marcus Mariota,21,134,1,0,0,0,10,60,0,0,0,0,0,0,0,0,1
