Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,5,Mark Ingram,0,0,0,0,0,0,16,53,2,0,0,2,20,0,0,0,1
2016,7,Mark Ingram,0,0,0,0,0,0,12,32,0,0,0,2,10,0,0,0,0
2016,8,Mark Ingram,0,0,0,0,0,0,13,63,0,0,0,3,29,0,0,0,0
2016,9,Mark Ingram,0,0,0,0,0,0,9,33,0,0,0,1,3,0,0,0,1
2016,10,Mark Ingram,0,0,0,0,0,0,13,104,0,0,0,3,58,1,0,0,0
2016,11,Mark Ingram,0,0,0,0,0,0,16,103,2,0,0,0,0,0,0,0,0
2016,12,Mark Ingram,0,0,0,0,0,0,11,52,0,0,0,2,14,0,0,0,0
2016,13,Mark Ingram,0,0,0,0,0,0,7,27,0,0,0,2,1,0,0,0,0
2016,14,Mark Ingram,0,0,0,0,0,0,13,52,1,0,0,1,1,0,0,0,0
2016,15,Mark Ingram,0,0,0,0,0,0,12,63,0,0,0,2,11,0,0,0,0
2016,16,Mark Ingram,0,0,0,0,0,0,11,35,1,0,0,1,8,0,0,0,1
2016,17,Mark Ingram,0,0,0,0,0,0,5,28,0,0,0,2,15,0,0,0,0
