Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Marlon Mack,0,0,0,0,0,0,10,34,0,0,0,1,2,0,0,0,0
2017,6,Marlon Mack,0,0,0,0,0,0,12,89,0,0,0,1,4,0,0,0,0
2017,7,Marlon Mack,0,0,0,0,0,0,19,126,1,1,1,2,33,1,0,0,0
2017,8,Marlon Mack,0,0,0,0,0,0,25,132,2,0,0,2,17,0,0,0,0
2017,10,Marlon Mack,0,0,0,0,0,0,12,29,0,1,1,2,9,0,0,0,0
2017,11,Marlon Mack,0,0,0,0,0,0,16,61,1,0,0,1,8,0,0,0,0
2017,12,Marlon Mack,0,0,0,0,0,0,15,85,0,0,0,2,11,0,0,0,0
2017,13,Marlon Mack,0,0,0,0,0,0,8,27,0,0,0,1,6,0,0,0,0
2017,14,Marlon Mack,0,0,0,0,0,0,14,33,1,0,0,0,0,0,0,0,0
2017,15,Marlon Mack,0,0,0,0,0,0,27,139,2,0,0,1,10,0,0,0,1
2017,16,Marlon Mack,0,0,0,0,0,0,12,34,1,0,0,1,4,0,0,0,0
2017,17,Marlon Mack,0,0,0,0,0,0,25,119,1,0,0,3,-1,0,0,0,1
