Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
2016,2,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0
2016,3,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0
2016,4,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
2016,6,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,6,61,0,0,0,0
2016,7,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,7,107,0,0,0,0
2016,8,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1
2016,9,Marqise Lee,0,0,0,0,0,0,1,11,0,0,0,4,84,0,0,0,0
2016,10,Marqise Lee,0,0,0,0,0,0,1,6,0,0,0,4,50,0,0,0,0
2016,11,Marqise Lee,0,0,0,0,0,0,1,6,0,0,0,4,52,1,0,0,0
2016,12,Marqise Lee,0,0,0,0,0,0,1,2,0,0,0,4,37,1,0,0,0
2016,13,Marqise Lee,0,0,0,0,0,0,2,10,0,0,0,3,34,0,0,0,0
2016,14,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,5,113,0,0,0,0
2016,16,Marqise Lee,1,20,1,0,0,0,0,0,0,0,0,3,37,1,0,0,0
2016,17,Marqise Lee,0,0,0,0,0,0,0,0,0,0,0,6,86,0,0,0,0
