Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,3,Marquise Goodwin,0,0,0,0,0,0,1,-2,0,0,0,3,30,1,0,0,0
2017,4,Marquise Goodwin,0,0,0,0,0,0,1,4,0,0,0,2,24,0,0,0,0
2017,6,Marquise Goodwin,0,0,0,0,0,0,1,5,0,0,0,4,126,2,0,0,0
2017,7,Marquise Goodwin,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
2017,8,Marquise Goodwin,0,0,0,0,0,0,0,0,0,0,0,1,55,1,0,0,0
2017,9,Marquise Goodwin,0,0,0,0,0,0,1,2,0,0,0,1,11,0,0,0,0
2017,10,Marquise Goodwin,0,0,0,0,0,0,0,0,0,0,0,4,69,0,0,0,0
2017,14,Marquise Goodwin,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,1
2017,15,Marquise Goodwin,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2017,16,Marquise Goodwin,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
