Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Matt Ryan,39,334,2,0,1,1,3,10,0,0,0,0,0,0,0,0,0
2016,2,Matt Ryan,34,396,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,Matt Ryan,30,240,2,0,0,0,5,23,0,0,0,0,0,0,0,0,0
2016,4,Matt Ryan,37,503,4,1,0,0,4,14,0,0,0,0,0,0,0,0,0
2016,5,Matt Ryan,28,267,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0
2016,6,Matt Ryan,42,335,3,1,0,0,1,2,0,0,0,0,0,0,0,0,1
2016,7,Matt Ryan,34,273,1,1,0,0,3,8,0,0,0,0,0,0,0,0,0
2016,8,Matt Ryan,35,288,3,0,0,0,2,9,0,1,0,0,0,0,0,0,0
2016,9,Matt Ryan,34,344,4,0,1,0,2,0,0,0,0,0,0,0,0,0,2
2016,10,Matt Ryan,33,267,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,12,Matt Ryan,34,269,2,1,0,0,4,15,0,0,0,0,0,0,0,0,0
2016,13,Matt Ryan,34,297,1,1,2,0,3,23,0,0,0,0,0,0,0,0,0
2016,14,Matt Ryan,28,237,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,15,Matt Ryan,23,286,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
2016,16,Matt Ryan,33,277,2,0,0,0,2,9,0,0,0,0,0,0,0,0,1
2016,17,Matt Ryan,36,331,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0
