Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Matthew Stafford,39,340,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0
2016,2,Matthew Stafford,40,260,1,1,0,0,2,31,0,0,0,0,0,0,0,0,0
2016,3,Matthew Stafford,41,385,3,1,0,0,2,11,0,0,0,0,0,0,0,0,0
2016,4,Matthew Stafford,36,213,0,2,1,1,2,17,0,0,0,0,0,0,0,0,0
2016,5,Matthew Stafford,25,180,3,0,0,0,6,16,0,0,0,0,0,0,0,0,1
2016,6,Matthew Stafford,31,270,4,0,0,0,5,16,0,0,0,0,0,0,0,0,0
2016,7,Matthew Stafford,29,266,1,0,0,0,2,32,0,0,0,0,0,0,0,0,1
2016,8,Matthew Stafford,41,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,9,Matthew Stafford,36,219,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,11,Matthew Stafford,33,278,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2016,12,Matthew Stafford,40,232,1,0,0,0,4,30,0,0,0,0,0,0,0,0,0
2016,13,Matthew Stafford,42,341,2,0,1,0,3,22,0,0,0,0,0,0,0,0,0
2016,14,Matthew Stafford,35,223,1,2,0,0,4,15,1,0,0,0,0,0,0,0,0
2016,15,Matthew Stafford,39,273,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0
2016,16,Matthew Stafford,46,260,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
2016,17,Matthew Stafford,41,347,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
