Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,7,87,0,2,1,0
2016,2,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,4,31,1,0,0,0
2016,3,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,8,102,0,0,0,0
2016,4,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,7,88,3,0,0,0
2016,5,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,3,47,1,0,0,0
2016,6,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2016,7,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,8,96,1,0,0,0
2016,8,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,8,108,0,0,0,0
2016,9,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
2016,11,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1
2016,12,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,8,110,0,0,0,0
2016,13,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,7,74,1,0,0,0
2016,14,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0
2016,15,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,6,60,1,0,0,0
2016,16,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,0
2016,17,Michael Crabtree,0,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0
