Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,7,93,1,0,0,0
2017,3,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,7,67,0,0,0,0
2017,4,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,5,67,1,0,0,0
2017,5,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0
2017,6,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,3,95,1,1,0,0
2017,7,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,7,88,1,0,0,1
2017,8,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0
2017,9,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,12,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,6,78,0,0,0,0
2017,13,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
2017,14,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
2017,15,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,5,79,1,0,0,0
2017,16,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,6,107,0,0,0,0
2017,17,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,5,55,0,1,1,0
