Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,3,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
2017,4,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2017,5,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
2017,6,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,7,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
2017,8,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0
2017,10,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2017,12,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1
2017,15,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
2017,16,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2017,17,Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
