Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Mitchell Trubisky,35,171,0,0,0,0,7,32,1,0,0,0,0,0,0,0,2
2018,2,Mitchell Trubisky,34,200,2,2,0,0,5,24,0,0,0,0,0,0,0,0,0
2018,3,Mitchell Trubisky,35,220,0,1,0,0,2,8,0,0,0,0,0,0,0,0,1
2018,4,Mitchell Trubisky,26,354,6,0,0,0,3,53,0,0,0,0,0,0,0,0,0
2018,6,Mitchell Trubisky,31,316,3,1,0,0,8,47,0,0,0,0,0,0,0,0,0
2018,7,Mitchell Trubisky,50,333,2,2,0,0,6,81,1,0,0,0,0,0,0,0,0
2018,8,Mitchell Trubisky,29,220,2,0,0,0,6,51,0,0,0,0,0,0,0,0,0
2018,9,Mitchell Trubisky,20,135,1,1,0,0,1,6,0,0,0,0,0,0,0,0,1
2018,10,Mitchell Trubisky,30,355,3,0,1,1,3,18,1,0,0,0,0,0,0,0,0
2018,11,Mitchell Trubisky,31,165,1,2,2,2,10,43,0,0,0,0,0,0,0,0,0
2018,14,Mitchell Trubisky,30,110,1,3,0,0,6,23,0,0,0,0,0,0,0,0,0
2018,15,Mitchell Trubisky,28,235,2,0,0,0,3,16,0,0,0,0,0,0,0,0,1
2018,16,Mitchell Trubisky,29,246,1,0,0,0,5,3,0,0,0,0,0,0,0,0,1
2018,17,Mitchell Trubisky,26,163,0,0,1,1,3,16,0,0,0,0,0,0,0,0,0
