Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,4,57,1,0,0,0
2016,2,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
2016,3,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
2016,5,Nelson Agholor,0,0,0,0,0,0,1,5,0,0,0,2,27,0,0,0,0
2016,6,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
2016,7,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2016,8,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
2016,9,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,1
2016,10,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
2016,13,Nelson Agholor,0,0,0,0,0,0,1,4,0,0,0,4,23,0,0,0,0
2016,14,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
2016,15,Nelson Agholor,0,0,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0
2016,16,Nelson Agholor,0,0,0,0,0,0,1,5,0,0,0,2,47,1,0,0,0
2016,17,Nelson Agholor,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
