Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Nick Chubb,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0
2018,2,Nick Chubb,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0
2018,3,Nick Chubb,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
2018,4,Nick Chubb,0,0,0,0,0,0,3,105,2,0,0,0,0,0,0,0,0
2018,5,Nick Chubb,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
2018,6,Nick Chubb,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0
2018,7,Nick Chubb,0,0,0,0,0,0,18,80,1,0,0,0,0,0,0,0,0
2018,8,Nick Chubb,0,0,0,0,0,0,18,65,0,0,0,2,10,0,0,0,0
2018,9,Nick Chubb,0,0,0,0,0,0,22,85,1,0,0,1,5,0,0,0,0
2018,10,Nick Chubb,0,0,0,0,0,0,20,176,1,0,0,3,33,1,0,0,0
2018,12,Nick Chubb,0,0,0,0,0,0,28,84,1,0,0,3,44,1,0,0,0
2018,13,Nick Chubb,0,0,0,0,0,0,9,31,1,0,0,3,41,0,0,0,0
2018,14,Nick Chubb,0,0,0,0,0,0,13,66,1,0,0,4,17,0,0,0,0
2018,15,Nick Chubb,0,0,0,0,0,0,20,100,0,0,0,0,0,0,0,0,0
2018,16,Nick Chubb,0,0,0,0,0,0,19,112,0,0,0,2,3,0,0,0,0
2018,17,Nick Chubb,0,0,0,0,0,0,9,24,0,0,0,2,-4,0,0,0,0
