Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2018,2,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
2018,3,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
2018,4,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1
2018,5,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
2018,8,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2018,9,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,6,52,1,0,0,0
2018,10,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0
2018,11,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2018,12,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
2018,13,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2018,14,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2018,16,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0
2018,17,Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
