Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,4,73,0,0,0,0
2016,2,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,8,86,0,0,0,0
2016,3,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,7,121,0,0,0,0
2016,4,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
2016,5,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0
2016,6,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,8,222,2,0,0,1
2016,7,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0
2016,9,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,4,46,2,0,0,0
2016,10,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,10,97,1,0,0,0
2016,11,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,1
2016,12,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,6,96,2,0,0,0
2016,13,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,10,105,0,0,0,0
2016,14,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,4,94,1,0,0,1
2016,15,Odell Beckham,0,0,0,0,0,0,1,9,0,0,0,6,64,1,0,0,0
2016,16,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,11,150,0,0,0,0
2016,17,Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0
