Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,4,59,0,0,0,0
2017,2,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0
2017,3,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,2,30,1,1,0,0
2017,4,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,3,65,0,0,0,0
2017,5,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
2017,7,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,2,61,1,0,0,0
2017,8,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,6,105,2,0,0,0
2017,9,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
2017,10,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0
2017,11,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,5,56,0,0,0,0
2017,12,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,4,70,0,0,0,0
2017,13,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
2017,14,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,3,72,1,0,0,0
2017,15,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2017,16,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
