Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Peyton Barber,0,0,0,0,0,0,19,69,0,0,0,0,0,0,0,0,0
2017,2,Peyton Barber,0,0,0,0,0,0,16,22,0,0,0,1,7,0,0,0,0
2017,3,Peyton Barber,0,0,0,0,0,0,8,33,0,0,0,0,0,0,0,0,0
2017,4,Peyton Barber,0,0,0,0,0,0,7,24,0,0,0,1,6,0,0,0,0
2017,6,Peyton Barber,0,0,0,0,0,0,13,82,0,0,0,4,24,1,0,0,0
2017,7,Peyton Barber,0,0,0,0,0,0,11,30,0,0,0,0,0,0,0,0,0
2017,8,Peyton Barber,0,0,0,0,0,0,19,85,1,0,0,0,0,0,0,0,0
2017,9,Peyton Barber,0,0,0,0,0,0,11,31,0,0,0,2,9,0,0,0,0
2017,10,Peyton Barber,0,0,0,0,0,0,13,61,0,0,0,1,5,0,0,0,0
2017,11,Peyton Barber,0,0,0,0,0,0,18,106,1,0,0,2,4,0,0,0,0
2017,12,Peyton Barber,0,0,0,0,0,0,18,47,1,0,0,2,16,0,0,0,0
2017,13,Peyton Barber,0,0,0,0,0,0,16,45,1,0,0,0,0,0,0,0,1
2017,14,Peyton Barber,0,0,0,0,0,0,14,42,0,0,0,1,2,0,0,0,0
2017,15,Peyton Barber,0,0,0,0,0,0,19,85,1,0,0,2,4,0,0,0,0
2017,16,Peyton Barber,0,0,0,0,0,0,17,43,0,0,0,3,13,0,0,0,0
2017,17,Peyton Barber,0,0,0,0,0,0,15,66,0,0,0,1,2,0,0,0,0
