Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,7,66,1,0,0,0
2018,2,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0
2018,4,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,4,55,1,0,0,0
2018,5,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
2018,7,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2018,9,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
2018,10,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2018,12,Phillip Dorsett,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2018,16,Phillip Dorsett,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0
2018,17,Phillip Dorsett,0,0,0,0,0,0,2,16,0,0,0,5,34,1,0,0,0
