Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Rashard Higgins,0,0,0,0,0,0,1,4,0,0,0,7,95,0,0,0,0
2017,3,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2017,5,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
2017,6,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,7,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,8,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
2017,10,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0
2017,12,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
2017,15,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2017,16,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,1
2017,17,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,3,68,2,0,0,0
