Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2016,2,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
2016,3,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0
2016,4,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
2016,5,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,2,17,0,1,1,0
2016,7,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
2016,10,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,11,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
2016,12,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,4,77,0,0,0,0
2016,13,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
2016,16,Rhett Ellison,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
