Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,7,123,1,0,0,1
2018,2,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2018,3,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
2018,4,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0
2018,5,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0
2018,6,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,3,97,0,0,0,0
2018,8,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
2018,12,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,3,56,1,0,0,0
2018,13,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
2018,14,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,8,107,1,0,0,0
2018,15,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
2018,17,Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
